,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
1,Bensonhurst 14th Avenue,0-30 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
2,CU Woodside Houses CHC,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
3,Harlem Hospital Center,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
4,Lincoln Medical Center,No Wait Time,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
5,4101 White Plains Road,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
6,Brooklyn Army Terminal,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
7,Cumberland Dtc,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
8,Highbridge Pool,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
9,Mariners Harbor Library,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
10,57 Cleveland Place,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
11,Canarsie Municipal Lot,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
12,Edward Grant,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
13,Jacobi Medical Center,0-30 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
14,Metropolitan Hospital ...,30-60 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
15,Bathgate Contract Post...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
16,CI Ida G Israel Chc,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
17,Elmhurst Hospital Center,30-60 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
18,JFK Airport,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
19,Midwood,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
20,Bay Ridge 5th Avenue,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
21,Co-op City Retail Space,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
22,EY East New York DTC,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
23,Kew Gardens,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
24,Morrisania Diagnostic ...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
25,Beach 39th,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
26,Coney Island Hospital ...,30-60 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
27,Fort Hamilton,1.5-2 Hours,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
28,Kings County Hospital ...,0-30 Minutes,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
29,Mt. Loretto,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
30,Bellevue Hospital Center,1.5-2 Hours,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
31,CU Jonathan Williams C...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
32,Gouverneur Healthcare,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
33,LaGuardia Airport,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
34,North Central Bronx Ho...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
35,Belvis Diagnostic & Tr...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
36,CU Vanderbilt,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
37,Greenbelt Recreational...,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
38,Leﬀerts,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
39,Northern Boulevard,Not Reported Yet,"12-3-2020,  8:00 AM - 9:59 AM",2020-12-03 14:37:17.931664
