,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
1,Bensonhurst 14th Avenue,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
2,CU Woodside Houses CHC,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
3,Harlem Hospital Center,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
4,Lincoln Medical Center,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
5,Old Broadway,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
6,Starret City,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
7,4101 White Plains Road,< 90 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
8,Brooklyn Army Terminal,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
9,Cumberland Dtc,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
10,Highbridge Pool,< 90 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
11,Mariners Harbor Library,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
12,Queens Hospital Center,< 2 Hours,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
13,SY Dyckman Lcdla,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
14,57 Cleveland Place,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
15,Canarsie Municipal Lot,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
16,Edward Grant,< 90 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
17,Jacobi Medical Center,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
18,Metropolitan Hospital ...,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
19,Rain Boston Road Senio...,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
20,SY St. Nicholas Chc,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
21,Bathgate Contract Post...,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
22,CI Ida G Israel Chc,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
23,Elmhurst Hospital Center,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
24,JFK Airport,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
25,Midwood,< 2 Hours,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
26,Red Hook Recreational ...,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
27,Sydenham,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
28,Bay Ridge 5th Avenue,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
29,Co-op City Retail Space,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
30,EY East New York DTC,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
31,Kew Gardens,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
32,Morrisania Diagnostic ...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
33,Sorrentino Recreationa...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
34,Sydenham Health Center,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
35,Beach 39th,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
36,Coney Island Hospital ...,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
37,Fort Hamilton,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
38,Kings County Hospital ...,No Wait Time,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
39,Mt. Loretto,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
40,St. Albans,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
