,Location,Wait,Time Window,Scrape Timestamp
41,Tremont Community Heal...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
42,Bellevue Hospital Center,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
43,CU Jonathan Williams C...,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
44,Gouverneur Healthcare,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
45,LaGuardia Airport,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
46,North Central Bronx Ho...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
47,St. George Ferry Termi...,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
48,Windsor Park Library,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
49,Belvis Diagnostic & Tr...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
50,CU Vanderbilt,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
51,Greenbelt Recreational...,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
52,Leﬀerts,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
53,Northern Boulevard,< 30 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
54,St. James Recreational...,< 60 Minutes,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
55,Woodhull Medical Center,Not Reported Yet,"12-1-2020,  12:00 PM - 1:59 PM",2020-12-01 18:40:42.462887
