,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
1,Bensonhurst 14th Avenue,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
2,CU Woodside Houses CHC,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
3,Harlem Hospital Center,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
4,4101 White Plains Road,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
5,Brooklyn Army Terminal,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
6,Cumberland Dtc,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
7,Highbridge Pool,1-1.5 Hours,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
8,57 Cleveland Place,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
9,Canarsie Municipal Lot,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
10,Edward Grant,1.5-2 Hours,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
11,Jacobi Medical Center,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
12,Bathgate Contract Post...,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
13,CI Ida G Israel Chc,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
14,Elmhurst Hospital Center,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
15,JFK Airport,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
16,Bay Ridge 5th Avenue,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
17,Co-op City Retail Space,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
18,EY East New York DTC,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
19,Kew Gardens,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
20,Beach 39th,1-1.5 Hours,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
21,Coney Island Hospital ...,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
22,Fort Hamilton,1.5-2 Hours,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
23,Kings County Hospital ...,0-30 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
24,Bellevue Hospital Center,1-1.5 Hours,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
25,CU Jonathan Williams C...,30-60 Minutes,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
26,Gouverneur Healthcare,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
27,LaGuardia Airport,No Wait Time,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
28,Belvis Diagnostic & Tr...,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
29,CU Vanderbilt,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
30,Greenbelt Recreational...,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
31,Leﬀerts,Not Reported Yet,"12-2-2020,  10:00 AM - 11:59 AM",2020-12-02 16:40:52.064713
