,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
1,Bensonhurst 14th Avenue,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
2,CU Woodside Houses CHC,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
3,Harlem Hospital Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
4,Lincoln Medical Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
5,Old Broadway,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
6,Starret City,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
7,4101 White Plains Road,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
8,Brooklyn Army Terminal,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
9,Cumberland Dtc,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
10,Highbridge Pool,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
11,Mariners Harbor Library,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
12,Queens Hospital Center,< 60 Minutes,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
13,SY Dyckman Lcdla,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
14,57 Cleveland Place,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
15,Canarsie Municipal Lot,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
16,Edward Grant,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
17,Jacobi Medical Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
18,Metropolitan Hospital ...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 07:33:41.474015
