,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
1,Bensonhurst 14th Avenue,30-60 Minutes,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
2,Last Reported at: 10:02AM,CU Woodside Houses CHC,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
3,Not Reported Yet,Harlem Hospital Center,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
4,0-30 Minutes*,Last Reported at: 9:32AM,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
5,Lincoln Medical Center,No Wait Time,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
6,Last Reported at: 10:04AM,Old Broadway,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
7,Not Reported Yet,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
8,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
9,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
10,Cumberland Dtc,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
11,Highbridge Pool,30-60 Minutes,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
12,Last Reported at: 10:20AM,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
13,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
14,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
15,57 Cleveland Place,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
16,Canarsie Municipal Lot,No Wait Time*,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
17,Last Reported at: 9:35AM,Edward Grant,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
18,Not Reported Yet,Jacobi Medical Center,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
19,0-30 Minutes,Last Reported at: 10:07AM,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
20,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
21,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
22,,Bathgate Contract Post...,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
23,Not Reported Yet,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
24,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
25,EY East New York DTC,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
26,JFK Airport,0-30 Minutes,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
27,Last Reported at: 10:04AM,MidwoodMorrisania Diagnos(cid:415)c ...,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
28,0-30 Minutes30-60 Minutes*,Last Reported at: 10:21AMLast Reported at: 9:57AM,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
29,Red Hook Recreational ...Sorrentino Recreationa...,Not Reported YetNot Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
30,Beach 39th,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
31,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
32,,Fort Hamilton,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
33,Not Reported Yet,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
34,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
35,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
36,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
37,,Bellevue Hospital Center,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
38,Not Reported Yet,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
39,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
40,Gouverneur Healthcare,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
41,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
42,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
43,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
44,St. George Ferry Termi...,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
45,Belvis Diagnostic & Tr...,Not Reported Yet,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
46,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
47,,,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
48,,Leﬀerts,"12-5-2020,  10:00 AM - 11:59 AM",2020-12-05 15:29:31.359975
