,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
1,Bensonhurst 14th Avenue,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
2,CU Woodside Houses CHC,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
3,Harlem Hospital Center,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
4,Lincoln Medical Center,30-60 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
5,4101 White Plains Road,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
6,Brooklyn Army Terminal,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
7,Cumberland Dtc,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
8,Highbridge Pool,1-1.5 Hours,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
9,Mariners Harbor Library,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
10,57 Cleveland Place,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
11,Canarsie Municipal Lot,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
12,Edward Grant,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
13,Jacobi Medical Center,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
14,Metropolitan Hospital ...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
15,Bathgate Contract Post...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
16,CI Ida G Israel Chc,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
17,Elmhurst Hospital Center,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
18,JFK Airport,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
19,Midwood,1.5-2 Hours,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
20,Bay Ridge 5th Avenue,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
21,Co-op City Retail Space,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
22,EY East New York DTC,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
23,Kew Gardens,30-60 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
24,Morrisania Diagnostic ...,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
25,Beach 39th,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
26,Coney Island Hospital ...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
27,Fort Hamilton,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
28,Kings County Hospital ...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
29,Mt. Loretto,30-60 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
30,Bellevue Hospital Center,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
31,CU Jonathan Williams C...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
32,Gouverneur Healthcare,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
33,LaGuardia Airport,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
34,North Central Bronx Ho...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
35,Belvis Diagnostic & Tr...,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
36,CU Vanderbilt,Not Reported Yet,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
37,Greenbelt Recreational...,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
38,Leﬀerts,0-30 Minutes,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
39,Northern Boulevard,No Wait Time,"12-2-2020,  4:00 PM - 5:59 PM",2020-12-02 23:09:29.894543
