,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
1,Bensonhurst 14th Avenue,1-1.5 Hours,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
2,CU Woodside Houses CHC,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
3,Harlem Hospital Center,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
4,Lincoln Medical Center,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
5,4101 White Plains Road,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
6,Brooklyn Army Terminal,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
7,Cumberland Dtc,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
8,Highbridge Pool,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
9,Mariners Harbor Library,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
10,57 Cleveland Place,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
11,Canarsie Municipal Lot,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
12,Edward Grant,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
13,Jacobi Medical Center,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
14,Metropolitan Hospital ...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
15,Bathgate Contract Post...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
16,CI Ida G Israel Chc,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
17,Elmhurst Hospital Center,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
18,JFK Airport,No Wait Time,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
19,Midwood,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
20,Bay Ridge 5th Avenue,0-30 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
21,Co-op City Retail Space,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
22,EY East New York DTC,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
23,Kew Gardens,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
24,Morrisania Diagnostic ...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
25,Beach 39th,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
26,Coney Island Hospital ...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
27,Fort Hamilton,1.5-2 Hours,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
28,Kings County Hospital ...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
29,Mt. Loretto,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
30,Bellevue Hospital Center,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
31,CU Jonathan Williams C...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
32,Gouverneur Healthcare,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
33,LaGuardia Airport,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
34,North Central Bronx Ho...,1-1.5 Hours,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
35,Belvis Diagnostic & Tr...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
36,CU Vanderbilt,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
37,Greenbelt Recreational...,Not Reported Yet,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
38,Leﬀerts,0-30 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
39,Northern Boulevard,30-60 Minutes,"12-3-2020,  4:00 PM - 5:59 PM",2020-12-03 22:11:44.862308
