,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
1,Bensonhurst 14th Avenue,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
2,CU Woodside Houses CHC,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
3,Harlem Hospital Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
4,Lincoln Medical Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
5,Old Broadway,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
6,Starret City,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
7,4101 White Plains Road,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
8,Brooklyn Army Terminal,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
9,Cumberland Dtc,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
10,Highbridge Pool,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
11,Mariners Harbor Library,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
12,Queens Hospital Center,< 60 Minutes,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
13,SY Dyckman Lcdla,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
14,57 Cleveland Place,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
15,Canarsie Municipal Lot,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
16,Edward Grant,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
17,Jacobi Medical Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
18,Metropolitan Hospital ...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
19,Rain Boston Road Senio...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
20,SY St. Nicholas Chc,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
21,Bathgate Contract Post...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
22,CI Ida G Israel Chc,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
23,Elmhurst Hospital Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
24,JFK Airport,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
25,Midwood,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
26,Red Hook Recreational ...,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
27,Sydenham,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
28,Bay Ridge 5th Avenue,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
29,Co-op City Retail Space,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
30,EY East New York DTC,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
31,Kew Gardens,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
32,Morrisania Diagnostic ...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
33,Sorrentino Recreationa...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
34,Sydenham Health Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
35,Beach 39th,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
36,Coney Island Hospital ...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
37,Fort Hamilton,No Wait Time,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
38,Kings County Hospital ...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
39,Mt. Loretto,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
40,St. Albans,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
41,Tremont Community Heal...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
42,Bellevue Hospital Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
43,CU Jonathan Williams C...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
44,Gouverneur Healthcare,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
45,LaGuardia Airport,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
46,North Central Bronx Ho...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
47,St. George Ferry Termi...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
48,Windsor Park Library,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
49,Belvis Diagnostic & Tr...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
50,CU Vanderbilt,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
51,Greenbelt Recreational...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
52,Leﬀerts,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
53,Northern Boulevard,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
54,St. James Recreational...,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
55,Woodhull Medical Center,Not Reported Yet,"11-30-2020,  6:00 PM - 7:59 PM",2020-12-01 08:12:17.101532
